ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2021-04-24 00:00:00,001,颗粒物,1.41,20,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2021-04-24 00:00:00,002,二氧化硫,1.68,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2021-04-24 00:00:00,003,氮氧化物,50.1,250,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2021-04-24 00:00:00,004,一氧化碳,9.95,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2021-04-24 00:00:00,008,氯化氢,2.84,50,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2021-04-24 00:00:00,001,颗粒物,0.86,20,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2021-04-24 00:00:00,002,二氧化硫,4.02,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2021-04-24 00:00:00,003,氮氧化物,47.4,250,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2021-04-24 00:00:00,004,一氧化碳,7.04,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2021-04-24 00:00:00,008,氯化氢,1.36,50,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2021-04-24 00:00:00,001,颗粒物,1.19,20,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2021-04-24 00:00:00,002,二氧化硫,6.62,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2021-04-24 00:00:00,003,氮氧化物,47.8,250,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2021-04-24 00:00:00,004,一氧化碳,2.32,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2021-04-24 00:00:00,008,氯化氢,0.72,50,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2021-04-24 00:00:00,001,颗粒物,1.4,20,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2021-04-24 00:00:00,002,二氧化硫,8.75,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2021-04-24 00:00:00,003,氮氧化物,44.9,250,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2021-04-24 00:00:00,004,一氧化碳,5.1,80,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2021-04-24 00:00:00,008,氯化氢,2.47,50,,0,0,2021-04-25T09:25:37.803,2021-04-25T09:25:44.48,20210424
