ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9DB3E5B4FD48E1D71C,2021-04-07 00:00:00,001,颗粒物,10.79,20,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9DB3E5B4FD48E1D71C,2021-04-07 00:00:00,002,二氧化硫,6.31,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9DB3E5B4FD48E1D71C,2021-04-07 00:00:00,003,氮氧化物,145.34,250,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9DB3E5B4FD48E1D71C,2021-04-07 00:00:00,004,一氧化碳,0.83,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9DB3E5B4FD48E1D71C,2021-04-07 00:00:00,008,氯化氢,2.46,50,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D8ACBBC4B6349B579,2021-04-07 00:00:00,001,颗粒物,9.2,20,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D8ACBBC4B6349B579,2021-04-07 00:00:00,002,二氧化硫,5.86,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D8ACBBC4B6349B579,2021-04-07 00:00:00,003,氮氧化物,154.26,250,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D8ACBBC4B6349B579,2021-04-07 00:00:00,004,一氧化碳,0.81,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D8ACBBC4B6349B579,2021-04-07 00:00:00,008,氯化氢,2.59,50,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D13C6000A60150E57,2021-04-07 00:00:00,001,颗粒物,10.62,20,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D13C6000A60150E57,2021-04-07 00:00:00,002,二氧化硫,15.89,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D13C6000A60150E57,2021-04-07 00:00:00,003,氮氧化物,150.4,250,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D13C6000A60150E57,2021-04-07 00:00:00,004,一氧化碳,0.47,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D13C6000A60150E57,2021-04-07 00:00:00,008,氯化氢,1.66,50,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D774EA072C84FD9FF,2021-04-07 00:00:00,001,颗粒物,9.68,20,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D774EA072C84FD9FF,2021-04-07 00:00:00,002,二氧化硫,16.86,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D774EA072C84FD9FF,2021-04-07 00:00:00,003,氮氧化物,153.41,250,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D774EA072C84FD9FF,2021-04-07 00:00:00,004,一氧化碳,0.23,80,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
536FDA86F72AAB9D07EE57BE26EC3A11,536FDA86F72AAB9D774EA072C84FD9FF,2021-04-07 00:00:00,008,氯化氢,3.63,50,,0,0,2021-04-08T09:22:19.52,2021-04-08T09:22:23.287,20210407
