ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F154FF77C8344DB678C,2021-04-29 00:00:00,001,颗粒物,2.05,20,CEMS维护,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:22.36,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F154FF77C8344DB678C,2021-04-29 00:00:00,002,二氧化硫,3.17,80,CEMS维护,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:22.36,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F154FF77C8344DB678C,2021-04-29 00:00:00,003,氮氧化物,107.77,250,CEMS维护,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:22.36,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F154FF77C8344DB678C,2021-04-29 00:00:00,004,一氧化碳,34.88,80,CEMS维护,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:22.36,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F154FF77C8344DB678C,2021-04-29 00:00:00,008,氯化氢,6.67,50,CEMS维护,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:22.36,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F151C5C42C562AEC1A8,2021-04-29 00:00:00,001,颗粒物,0.44,20,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F151C5C42C562AEC1A8,2021-04-29 00:00:00,002,二氧化硫,7.67,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F151C5C42C562AEC1A8,2021-04-29 00:00:00,003,氮氧化物,121.8,250,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F151C5C42C562AEC1A8,2021-04-29 00:00:00,004,一氧化碳,41.18,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F151C5C42C562AEC1A8,2021-04-29 00:00:00,008,氯化氢,2.55,50,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F1583A7101D1981AB45,2021-04-29 00:00:00,001,颗粒物,3.11,20,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F1583A7101D1981AB45,2021-04-29 00:00:00,002,二氧化硫,2.13,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F1583A7101D1981AB45,2021-04-29 00:00:00,003,氮氧化物,109.87,250,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F1583A7101D1981AB45,2021-04-29 00:00:00,004,一氧化碳,19.24,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
BA11410461A83F15F5A068C3B9E2105E,BA11410461A83F1583A7101D1981AB45,2021-04-29 00:00:00,008,氯化氢,10.86,50,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
