ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A93787B021146E5D4B4956,2021-04-04 00:00:00,001,颗粒物,2.46,20,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A93787B021146E5D4B4956,2021-04-04 00:00:00,002,二氧化硫,0.4,80,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A93787B021146E5D4B4956,2021-04-04 00:00:00,003,氮氧化物,51.02,250,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A93787B021146E5D4B4956,2021-04-04 00:00:00,004,一氧化碳,2.89,80,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A93787B021146E5D4B4956,2021-04-04 00:00:00,008,氯化氢,0.01,50,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A9378743F6CE00FE0FE505,2021-04-04 00:00:00,001,颗粒物,2.14,20,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A9378743F6CE00FE0FE505,2021-04-04 00:00:00,002,二氧化硫,8.96,80,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A9378743F6CE00FE0FE505,2021-04-04 00:00:00,003,氮氧化物,62.01,250,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A9378743F6CE00FE0FE505,2021-04-04 00:00:00,004,一氧化碳,3.14,80,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
9AE0E06952A93787A9B490BDD9B98FB5,9AE0E06952A9378743F6CE00FE0FE505,2021-04-04 00:00:00,008,氯化氢,0.19,50,,0,0,2021-04-05T09:22:31.113,2021-04-05T09:22:36.447,20210404
