ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2021-04-25 00:00:00,001,颗粒物,16.47,20,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2021-04-25 00:00:00,002,二氧化硫,1.63,80,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2021-04-25 00:00:00,003,氮氧化物,167.18,250,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2021-04-25 00:00:00,004,一氧化碳,13.81,80,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2021-04-25 00:00:00,008,氯化氢,2.49,50,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2021-04-25 00:00:00,001,颗粒物,9.55,20,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2021-04-25 00:00:00,002,二氧化硫,5.46,80,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2021-04-25 00:00:00,003,氮氧化物,128.52,250,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2021-04-25 00:00:00,004,一氧化碳,27.05,80,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2021-04-25 00:00:00,008,氯化氢,13.91,50,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2021-04-25 00:00:00,001,颗粒物,,20,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:27.993,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2021-04-25 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:27.993,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2021-04-25 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:27.993,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2021-04-25 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:27.993,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2021-04-25 00:00:00,008,氯化氢,,50,通讯中断,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:27.993,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2021-04-25 00:00:00,001,颗粒物,17.74,20,,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2021-04-25 00:00:00,002,二氧化硫,5.25,80,,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2021-04-25 00:00:00,003,氮氧化物,219.56,250,,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2021-04-25 00:00:00,004,一氧化碳,54.3,80,,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2021-04-25 00:00:00,008,氯化氢,11.8,50,,0,0,2021-04-26T09:23:27.993,2021-04-26T09:23:32.373,20210425
