ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2021-04-21 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:03.063,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2021-04-21 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:03.063,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2021-04-21 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:03.063,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2021-04-21 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:03.063,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,2021-04-21 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:03.063,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2021-04-21 00:00:00,001,颗粒物,2.68,20,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2021-04-21 00:00:00,002,二氧化硫,19.42,80,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2021-04-21 00:00:00,003,氮氧化物,148.42,250,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2021-04-21 00:00:00,004,一氧化碳,3.19,80,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,2021-04-21 00:00:00,008,氯化氢,13.66,50,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2021-04-21 00:00:00,001,颗粒物,2.0,20,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2021-04-21 00:00:00,002,二氧化硫,32.32,80,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2021-04-21 00:00:00,003,氮氧化物,119.76,250,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2021-04-21 00:00:00,004,一氧化碳,11.31,80,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,2021-04-21 00:00:00,008,氯化氢,12.63,50,,0,0,2021-04-22T09:28:03.063,2021-04-22T09:28:10.393,20210421
