ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2021-04-29 00:00:00,001,颗粒物,3.26,20,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2021-04-29 00:00:00,002,二氧化硫,31.46,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2021-04-29 00:00:00,003,氮氧化物,168.1,250,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2021-04-29 00:00:00,004,一氧化碳,0.24,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2021-04-29 00:00:00,008,氯化氢,5.79,50,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2021-04-29 00:00:00,001,颗粒物,5.17,20,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2021-04-29 00:00:00,002,二氧化硫,11.06,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2021-04-29 00:00:00,003,氮氧化物,160.7,250,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2021-04-29 00:00:00,004,一氧化碳,0.02,80,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2021-04-29 00:00:00,008,氯化氢,16.48,50,,0,0,2021-04-30T09:22:22.36,2021-04-30T09:22:30.147,20210429
