ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-03 00:00:00,001,颗粒物,3.56,20,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-03 00:00:00,002,二氧化硫,16.79,80,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-03 00:00:00,003,氮氧化物,51.05,250,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-03 00:00:00,004,一氧化碳,1.69,80,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-03 00:00:00,008,氯化氢,5.24,50,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-03 00:00:00,001,颗粒物,2.82,20,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-03 00:00:00,002,二氧化硫,9.71,80,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-03 00:00:00,003,氮氧化物,55.93,250,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-03 00:00:00,004,一氧化碳,0.77,80,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-03 00:00:00,008,氯化氢,3.55,50,,0,0,2021-04-04T09:22:53.473,2021-04-04T09:23:00.433,20210403
